_id,image_url,brands,pnns_groups_2,energy-kj_100g,sugars_100g,salt_100g,saturated-fat_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,sodium_100g,nutrition-score-fr_100g
3045320517699,https://images.openfoodfacts.org/images/products/304/532/051/7699/front_fr.24.400.jpg,Bonne Maman,Dairy desserts,730.0,19.0,0.11,4.7,4.2,0.0,0.0,0.044,8.0
5411188116028,https://images.openfoodfacts.org/images/products/541/118/811/6028/front_de.157.400.jpg,Alpro,Plant-based milk substitutes,192.0,3.3,0.08,0.2,0.8,1.4,0.0,0.032,-1.0
4104060024931,https://images.openfoodfacts.org/images/products/410/406/002/4931/front_de.49.400.jpg,Andechser,Milk and yogurt,178.0,3.8,0.13,1.0,3.4,0.0,0.0,0.052,7.0
5449000134264,https://images.openfoodfacts.org/images/products/544/900/013/4264/front_de.33.400.jpg,Coca-Cola,Artificially sweetened beverages,0.9,0.0,0.02,0.0,0.0,0.0,0.0,0.008,1.0
4056489028109,https://images.openfoodfacts.org/images/products/405/648/902/8109/front_de.170.400.jpg,solevita,Fruit juices,142.0,7.6,0.01,0.1,0.5,0.0,75.0,0.004,7.0
5449000000286,https://images.openfoodfacts.org/images/products/544/900/000/0286/front_en.77.400.jpg,Coca-Cola,Sweetened beverages,180.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,14.0
4008452036130,https://images.openfoodfacts.org/images/products/400/845/203/6130/front_de.69.400.jpg,"Weihenstephan, Weihenstephan-Edeka",Fats,2823.0,1.6,0.02,42.0,1.2,0.0,15.0,0.008,16.0
4056489041313,https://images.openfoodfacts.org/images/products/405/648/904/1313/front_de.127.400.jpg,"Vemondo,Milbona",Plant-based milk substitutes,101.0,2.7,0.1,0.1,0.5,0.0,2.3,0.04,0.0
4056489223252,https://images.openfoodfacts.org/images/products/405/648/922/3252/front_de.33.400.jpg,"Vemondo,Lidl",unknown,969.0,6.0,1.55,1.1,4.5,2.8,0.3,0.62,6.0
4001954161010,https://images.openfoodfacts.org/images/products/400/195/416/1010/front_de.171.400.jpg,"Kerrygold, Ornua Deutschland",Fats,3076.0,0.7,0.03,56.0,0.7,0.0,0.0,0.012,19.0
