_id,image_url,brands,pnns_groups_2,energy-kj_100g,sugars_100g,salt_100g,saturated-fat_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,sodium_100g,nutrition-score-fr_100g,nutrition_grade_fr,negative_points,positive_points,energy_points,sugars_points,sodium_points,saturated_fat_points,fruit_points,fiber_points,proteins_points,our_nutrition_score,our_nutrition_label
8711812380571.0,https://images.openfoodfacts.org/images/products/871/181/238/0571/front_fr.81.400.jpg,Gaia,unknown,1079.0,0.5,1.4,18.2,4.5,3.4,1.5,0.56,16.0,d,9.0,10.0,7,10,10,0,0,6,4,5.149999999999999,d
8027890010249.0,https://images.openfoodfacts.org/images/products/802/789/001/0249/front_es.64.400.jpg,Kioene,unknown,1022.0,0.9,1.56,1.8,12.4,3.6,18.0,0.624,2.0,b,7.0,10.0,7,10,10,9,0,6,10,0.3500000000000014,b
1230000068017.0,https://images.openfoodfacts.org/images/products/123/000/006/8017/front_fr.11.400.jpg,Beyond Meat,unknown,1047.0,0.0,0.75,5.6,17.0,1.3,8.01953125,0.3,10.0,c,8.0,10.0,7,10,10,5,0,2,10,3.1500000000000004,c
7613035694989.0,https://images.openfoodfacts.org/images/products/761/303/569/4989/front_fr.119.400.jpg,"Garden gourmet,Nestlé",unknown,942.0,3.3,1.0,1.0,16.2,5.9,48.85,0.4,-5.0,a,9.0,8.0,8,10,10,10,2,10,10,-1.6499999999999986,a
7622201809638.0,https://images.openfoodfacts.org/images/products/762/220/180/9638/front_fr.67.400.jpg,"LU,Napolitain,Mondelez",unknown,1797.0,32.0,0.48,8.9,4.4,2.0,0.0116984049479143,0.192,20.0,e,10.0,9.0,5,3,10,2,0,4,4,6.65,e
3056440083193.0,https://images.openfoodfacts.org/images/products/305/644/008/3193/front.7.400.jpg,"Belin,Mondelez",Appetizers,1977.0,0.7,3.0,9.2,4.3,4.0,0.0,1.2,20.0,e,7.0,10.0,5,10,10,1,0,8,4,5.149999999999999,d
3336971805038.0,https://images.openfoodfacts.org/images/products/333/697/180/5038/front_en.94.400.jpg,"Vico,Natu' & Bon",Appetizers,1915.0,3.7,1.5,1.8,13.0,5.3,37.3854259672619,0.6,7.0,c,9.0,7.0,5,10,10,9,0,10,10,0.15000000000000036,b
5053990155354.0,https://images.openfoodfacts.org/images/products/505/399/015/5354/front_en.42.400.jpg,Pringles,Appetizers,2191.0,2.7,1.3,6.4,6.0,3.4,0.0,0.52,14.0,d,9.0,7.0,4,10,10,4,0,6,6,4.649999999999999,d
3664346305860.0,https://images.openfoodfacts.org/images/products/366/434/630/5860/front_en.88.400.jpg,Poulain,Chocolate products,2119.0,52.0,0.01,18.0,4.9,7.2,0.0,0.004,21.0,e,10.0,8.0,4,0,10,0,0,10,6,6.050000000000001,d
7613036337342.0,https://images.openfoodfacts.org/images/products/761/303/633/7342/front_fr.51.400.jpg,"Herta, Nestle, Garden gourmet",One-dish meals,947.0,0.9,1.1,3.1,16.2,3.5,6.6153125,0.44,1.0,b,10.0,8.0,8,10,10,7,0,6,10,0.6499999999999986,b
7613035694958.0,https://images.openfoodfacts.org/images/products/761/303/569/4958/front_fr.131.400.jpg,"Garden gourmet,Nestlé",One-dish meals,787.0,3.5,0.9,2.0,8.5,2.6,43.3224404761905,0.36,-2.0,a,7.0,8.0,8,10,10,9,2,4,10,0.5500000000000007,b
3560070998784.0,https://images.openfoodfacts.org/images/products/356/007/099/8784/front_fr.61.400.jpg,Carrefour,One-dish meals,921.0,1.5,0.72,1.7,7.1,5.5,75.9076923076923,0.288,-5.0,a,9.0,8.0,8,10,10,9,4,10,8,-0.75,a
3175681216273.0,https://images.openfoodfacts.org/images/products/317/568/121/6273/front_fr.69.400.jpg,Céréal Bio,One-dish meals,933.0,3.5,0.95,1.7,8.5,4.8,3.58333333333333,0.38,-3.0,a,6.0,10.0,8,10,10,9,0,10,10,-1.3500000000000014,a
3760257090717.0,https://images.openfoodfacts.org/images/products/376/025/709/0717/front_en.28.400.jpg,Hari&Co,One-dish meals,1251.0,3.0,0.8,1.6,6.4,6.5,42.7578125,0.32,-2.0,a,8.0,9.0,7,10,10,9,2,10,6,0.049999999999998934,b
3259011033768.0,https://images.openfoodfacts.org/images/products/325/901/103/3768/front_fr.36.400.jpg,Cereal bio,One-dish meals,1062.0,1.2,0.98,3.0,7.8,5.0,3.325,0.392,0.0,b,6.0,7.0,7,10,10,8,0,10,8,-0.049999999999998934,a
4012359144003.0,https://images.openfoodfacts.org/images/products/401/235/914/4003/front_en.81.400.jpg,Taifun,One-dish meals,853.0,0.5,1.4,2.2,19.0,0.0,56.11328125,0.56,5.0,c,8.0,7.0,8,10,10,8,2,0,10,2.1500000000000004,c
26097442.0,https://images.openfoodfacts.org/images/products/26097442/front_fr.302.400.jpg,"Bon & VéG,Aldi",One-dish meals,649.0,1.3,1.5,0.6,19.0,4.8,59.0,0.6,-4.0,a,7.0,10.0,9,10,10,10,2,10,10,-2.1499999999999986,a
3175681104297.0,https://images.openfoodfacts.org/images/products/317/568/110/4297/front_fr.74.400.jpg,Céréal Bio,One-dish meals,921.0,1.4,1.2,1.0,6.0,6.9,69.5,0.48,-3.0,a,10.0,5.0,8,10,10,10,4,10,6,-0.75,a
