_id,image_url,brands,pnns_groups_2,energy-kj_100g,sugars_100g,salt_100g,saturated-fat_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,sodium_100g,nutrition-score-fr_100g,nutrition_grade_fr,negative_points,positive_points
4056489412373.0,https://images.openfoodfacts.org/images/products/405/648/941/2373/front_fr.4.400.jpg,Toque du Chef,One-dish meals,639.0,2.7,0.69,2.6,6.8,1.0,13.85,0.276,1.0,b,4.0,4.0
3487400005151.0,https://images.openfoodfacts.org/images/products/348/740/000/5151/front_de.3.400.jpg,"Ben's Original, Mars",One-dish meals,711.0,2.5,0.56,0.3,3.9,1.4,8.4,0.224,1.0,b,1.0,1.0
5010034514003.0,https://images.openfoodfacts.org/images/products/501/003/451/4003/front_en.82.400.jpg,Uncle Ben's,One-dish meals,612.0,0.5,0.01,0.1,2.7,0.7,0.0,0.004,0.0,b,3.0,2.0
5010034517004.0,https://images.openfoodfacts.org/images/products/501/003/451/7004/front_fr.63.400.jpg,"Uncle Ben's,Mars",One-dish meals,699.0,0.5,0.01,0.5,4.1,1.3,0.0,0.004,-1.0,a,5.0,2.0
1601225550005.0,https://images.openfoodfacts.org/images/products/160/122/555/0005/front_fr.4.400.jpg,Ikea,One-dish meals,660.0,2.1,1.1,4.0,8.1,0.0,0.0,0.44,3.0,c,6.0,3.0
3083681139709.0,https://images.openfoodfacts.org/images/products/308/368/113/9709/front_de.25.400.jpg,Bonduelle,One-dish meals,512.0,2.1,0.77,0.4,4.6,3.8,0.0,0.308,-2.0,a,5.0,7.0
4260322210761.0,https://images.openfoodfacts.org/images/products/426/032/221/0761/front_de.37.400.jpg,Greenforce,One-dish meals,1550.0,5.2,3.9,1.5,45.0,14.0,0.0,1.56,-2.0,a,2.0,5.0
4012359144003.0,https://images.openfoodfacts.org/images/products/401/235/914/4003/front_fr.66.400.jpg,Taifun,One-dish meals,853.0,0.5,1.4,2.2,19.0,0.0,56.11328125,0.56,5.0,c,8.0,6.0
4061458019187.0,https://images.openfoodfacts.org/images/products/406/145/801/9187/front_de.34.400.jpg,vegetarisch lecker!,Processed meat,821.0,3.8,2.2,1.7,8.6,2.8,0.0,0.88,10.0,c,5.0,11.0
5000157062673.0,https://images.openfoodfacts.org/images/products/500/015/706/2673/front_en.41.400.jpg,Heinz,Soups,225.0,5.1,0.6,0.2,0.9,0.6,84.0,0.24,-2.0,a,5.0,3.0
7616800705057.0,https://images.openfoodfacts.org/images/products/761/680/070/5057/front_fr.30.400.jpg,"Migros,M-Classic,Bischofszell",Cereals,415.0,3.2,1.0,0.9,3.7,14.0,64.25,0.4,-4.0,a,4.0,4.0
7616800705101.0,https://images.openfoodfacts.org/images/products/761/680/070/5101/front_fr.35.400.jpg,"M-Classic, Migros, MClassic",Cereals,420.0,3.3,1.1,0.8,3.5,0.7,66.21875,0.44,1.0,b,5.0,1.0
4058172508080.0,https://images.openfoodfacts.org/images/products/405/817/250/8080/front_de.32.400.jpg,"dmBio,dm,Alnatura",Legumes,531.0,0.6,0.51,1.3,13.0,1.8,0.0,0.204,-2.0,a,4.0,3.0
3229820787985.0,https://images.openfoodfacts.org/images/products/322/982/078/7985/front_fr.85.400.jpg,Bjorg,Unsweetened beverages,760.0,1.6,0.08,15.0,1.2,1.1,55.0,0.032,19.0,e,0.0,0.0
4260380661246.0,https://images.openfoodfacts.org/images/products/426/038/066/1246/front_de.98.400.jpg,Like Meat,unknown,510.0,0.6,0.6,0.3,18.0,7.1,0.0,0.24,-7.0,a,10.0,6.0
4056489223252.0,https://images.openfoodfacts.org/images/products/405/648/922/3252/front_de.33.400.jpg,"Vemondo,Lidl",unknown,969.0,6.0,1.55,1.1,4.5,2.8,0.3,0.62,6.0,c,9.0,4.0
4061458236928.0,https://images.openfoodfacts.org/images/products/406/145/823/6928/front_de.25.400.jpg,"Goldähren,Sinnack Backspezialitäten,Aldi",Bread,1340.0,3.0,1.3,1.0,18.0,6.0,0.0,0.52,-2.0,a,7.0,5.0
5411188115472.0,https://images.openfoodfacts.org/images/products/541/118/811/5472/front_de.178.400.jpg,Alpro,Plant-based milk substitutes,163.0,2.5,0.09,0.3,3.0,0.5,24.2,0.036,-1.0,a,0.0,1.0
7394376616129.0,https://images.openfoodfacts.org/images/products/739/437/661/6129/front_de.68.400.jpg,Oatly,Plant-based milk substitutes,193.0,4.0,0.1,0.2,1.0,0.8,11.4583333333333,0.04,0.0,b,0.0,0.0
5411188120742.0,https://images.openfoodfacts.org/images/products/541/118/812/0742/front_de.70.400.jpg,Alpro,Plant-based milk substitutes,126.0,3.8,0.14,0.1,0.4,1.3,3.45,0.056,-1.0,a,0.0,1.0
20330750.0,https://images.openfoodfacts.org/images/products/20330750/front_de.85.400.jpg,"Vemondo,Lidl",unknown,681.0,4.0,1.5,0.7,18.8,7.7,6.33703882553998,0.6,-2.0,a,7.0,9.0
5411188135005.0,https://images.openfoodfacts.org/images/products/541/118/813/5005/front_de.74.400.jpg,Alpro,Plant-based milk substitutes,182.0,0.0,0.12,0.2,0.7,1.0,4.35,0.048,-1.0,a,1.0,0.0
4000405004470.0,https://images.openfoodfacts.org/images/products/400/040/500/4470/front_de.36.400.jpg,Rügenwalder,unknown,590.0,1.4,2.3,1.0,2.2,6.3,4.4,0.92,6.0,c,11.0,0.0
4000405002704.0,https://images.openfoodfacts.org/images/products/400/040/500/2704/front_de.31.400.jpg,Rügenwalder Mühle,Salty and fatty products,923.0,4.1,1.6,1.7,0.6,3.3,38.61875,0.64,7.0,c,11.0,0.0
4000339035229.0,https://images.openfoodfacts.org/images/products/400/033/903/5229/front_en.52.400.jpg,"Mondelez,Philadelphia",Salty and fatty products,964.0,4.3,0.75,14.0,5.4,0.2,0.0,0.3,12.0,d,7.0,6.0
3451790988042.0,https://images.openfoodfacts.org/images/products/345/179/098/8042/front_fr.105.400.jpg,Elle & Vire,Milk and yogurt,1204.0,3.2,0.08,21.0,2.3,0.0,0.0,0.032,13.0,d,1.0,3.0
4104420186279.0,https://images.openfoodfacts.org/images/products/410/442/018/6279/front_de.73.400.jpg,Alnatura,Plant-based milk substitutes,164.0,5.2,0.13,0.2,0.6,0.5,0.0,0.052,1.0,b,0.0,0.0
7290010739820.0,https://images.openfoodfacts.org/images/products/729/001/073/9820/front_de.48.400.jpg,"Garden Gourmet,Nestlé",unknown,937.0,2.8,1.4,1.7,14.0,5.3,42.325,0.56,-2.0,a,3.0,10.0
4260380661284.0,https://images.openfoodfacts.org/images/products/426/038/066/1284/front_de.39.400.jpg,Like Meat,unknown,960.0,0.0,1.4,1.6,11.0,5.9,0.0,0.56,-1.0,a,11.0,0.0
20195595.0,https://images.openfoodfacts.org/images/products/20195595/front_de.150.400.jpg,Milbona,Cheese,614.0,2.0,1.0,8.4,8.0,0.1,0.0,0.4,9.0,c,1.0,5.0
8076809545396.0,https://images.openfoodfacts.org/images/products/807/680/954/5396/front_de.211.400.jpg,"Barilla, Cucina Nobile Hofer, Italien",Dressings and sauces,1830.0,4.6,3.0,5.0,4.2,1.4,18.7256868131868,1.2,19.0,e,6.0,4.0
