_id,image_url,brands,is_beverage,pnns_groups_2,energy-kj_100g,sugars_100g,salt_100g,saturated-fat_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,sodium_100g,nutrition-score-fr_100g,nutrition_grade_fr,negative_points,positive_points
5010034517004,https://images.openfoodfacts.org/images/products/501/003/451/7004/front_fr.63.400.jpg,"Uncle Ben's,Mars",N,One-dish meals,699,0.5,0.01,0.5,4.1,1.3,0,0.004,-1,a,5,2
1601225550005,https://images.openfoodfacts.org/images/products/160/122/555/0005/front_fr.4.400.jpg,Ikea,N,One-dish meals,660,2.1,1.1,4,8.1,0,0,0.44,3,c,6,3
3083681139709,https://images.openfoodfacts.org/images/products/308/368/113/9709/front_de.25.400.jpg,Bonduelle,N,One-dish meals,512,2.1,0.77,0.4,4.6,3.8,0,0.308,-2,a,5,7
4260322210761,https://images.openfoodfacts.org/images/products/426/032/221/0761/front_de.37.400.jpg,Greenforce,N,One-dish meals,1550,5.2,3.9,1.5,45,14,0,1.56,-2,a,2,5
4012359144003,https://images.openfoodfacts.org/images/products/401/235/914/4003/front_fr.66.400.jpg,Taifun,N,One-dish meals,853,0.5,1.4,2.2,19,0,56.11328125,0.56,5,c,8,6
4104420186279,https://images.openfoodfacts.org/images/products/410/442/018/6279/front_de.73.400.jpg,Alnatura,Y,Plant-based milk substitutes,164,5.2,0.13,0.2,0.6,0.5,0,0.052,1,b,0,0
4056489244691,https://images.openfoodfacts.org/images/products/405/648/924/4691/front_de.95.400.jpg,"Vemondo, Lidl, Grønvang Food",Y,Plant-based milk substitutes,158,4,0.12,0.2,0.4,0.6,0,0.048,0,b,0,0
5411188102809,https://images.openfoodfacts.org/images/products/541/118/810/2809/front_de.182.400.jpg,Alpro,Y,Plant-based milk substitutes,293,7.9,0.15,0.4,3.7,1,61.475,0.06,-4,a,1,5
4056489041313,https://images.openfoodfacts.org/images/products/405/648/904/1313/front_de.127.400.jpg,"Vemondo,Milbona",Y,Plant-based milk substitutes,101,2.7,0.1,0.1,0.5,0,2.3,0.04,0,b,1,0
5411188112709,https://images.openfoodfacts.org/images/products/541/118/811/2709/front_de.425.400.jpg,Alpro,Y,Plant-based milk substitutes,56,0,0.14,0.1,0.4,0.3,2.3,0.056,0,b,0,0
7394376616501,https://images.openfoodfacts.org/images/products/739/437/661/6501/front_de.160.400.jpg,Oatly!,Y,Plant-based milk substitutes,257,3.4,0.1,0.3,1.1,0.8,5,0.04,0,b,0,0
5411188115366,https://images.openfoodfacts.org/images/products/541/118/811/5366/front_de.88.400.jpg,Alpro,Y,Plant-based milk substitutes,185,2.6,0.1,0.2,0.4,1.9,0,0.04,-1,a,0,1
5411188115472,https://images.openfoodfacts.org/images/products/541/118/811/5472/front_de.178.400.jpg,Alpro,Y,Plant-based milk substitutes,163,2.5,0.09,0.3,3,0.5,24.2,0.036,-1,a,0,1
